email,title
jan.levinson-gould@dundermifflin.com,vice president of sales
andy.bernard@dundermifflin.com,account manager
angela.martin@dundermifflin.com,accountant
darryl.philbin@dundermifflin.com,employee
dwight.schrute@dundermifflin.com,assistant to the regional manager
jim.halpert@dundermifflin.com,account manager
kelly.kapoor@dundermifflin.com,customer service representative
kevin.malone@dundermifflin.com,accountant
meredith.palmer@dundermifflin.com,supplier relations representative
michael.scott@dundermifflin.com,regional manager
oscar.martinez@dundermifflin.com,accountant
pam.beesly@dundermifflin.com,receptionist
phyllis.vance@dundermifflin.com,account manaager
stanley.hudson@dundermifflin.com,account manaager
toby.flenderson@dundermifflin.com,human resources representative
